Frequency (Hz),OUT (V),Phase (deg),IN (V),Phase (deg),hand (V),Phase (deg)
0,0.003148957322372862,180,0.003209660419392394,0,0.0176836850226235,180
32.12376644736842,0.0002733720804169138,26.45410856136581,0.0001824572025752097,75.03792992047445,0.01792146045468525,56.06241380603218
64.24753289473684,0.0006050844498641124,105.6607000863347,0.0006183367022486126,49.33301266307061,0.02928586553425524,68.29939388744653
96.37129934210526,0.000291825905934991,121.5913435068065,0.0002914509859700926,36.17858017543727,0.01062853482572826,64.23628647804007
128.4950657894737,0.0002284995316458917,101.0607605769431,0.0002370186447120954,28.60530609101475,0.004660952450401675,55.97694876759308
160.6188322368421,0.0002179607289789576,149.6317046863977,0.0002296433826468301,10.15293075539931,0.01018762375362081,101.900491712788
192.7425986842105,0.0003034764707090427,165.3931830124174,0.0002292733804763171,17.76611589847104,0.005206637846532993,90.03401881693269
224.8663651315789,0.0001326109672399843,179.7712914814993,0.0001988092580533264,171.8138829175716,0.005158212086394494,82.40378915963414
256.9901315789473,0.0003927900360216511,6.955504952947344,9.519003379962909e-05,1.1162877194792,0.002674485469649656,6.159412283225966
289.1138980263158,0.0002910594564263667,21.34688316719565,0.000194519900867372,10.0188479884091,0.002188601319718759,103.2372329565349
321.2376644736842,6.760155757837859e-05,173.3673138291032,0.0001975853029267472,17.66646210488605,0.001854355195487405,113.3369967355601
353.3614309210526,0.0002272366490372163,161.8865833938066,0.0001751681236036182,7.728374651749239,0.006269128470330809,55.98680663121254
385.485197368421,0.0001401533528232059,160.5193648386759,0.0002482183983233256,8.34952365025225,0.001982282409189749,89.50818080982226
417.6089638157894,0.0001032080138105597,106.3945688945895,0.0001872915247546353,23.20509660316938,0.001986698255534452,80.1601265662942
449.7327302631579,5.052278700983956e-05,9.951805588252206,0.0001832876637364226,19.56569217879878,0.005527062767178784,150.7521651800858
481.8564967105262,5.171025048004594e-05,153.5392091706914,0.0002323104875191488,173.225517969686,0.001434204651505041,72.58256590798152
513.9802631578947,0.0003397860609137817,70.31798240728256,0.0002168542205295152,16.94834445900169,0.001295389288739506,88.10128667760938
