Frequency (Hz),OUT (V),Phase (deg),IN (V),Phase (deg),hand (V),Phase (deg)
0,0.002328725361913341,0,0.002509156946808056,0,0.002325712226689118,0
66.88784246575342,0.0005441077722758746,173.8330906938659,0.0005208361149326324,9.158812616051458,0.02883878664779455,179.8968996239298
133.7756849315068,0.0001348938090879807,166.8420294482072,0.0001652448832009573,20.55637171258884,0.01094669199391777,134.4947963014181
200.6635273972603,5.699610145446576e-05,141.821079904915,7.726456505629582e-05,173.9235506313786,0.002473368200880974,59.64688644819347
267.5513698630137,5.418663879336899e-05,167.53428461265,0.0001277992327635962,85.50364304060052,0.005876607860753227,100.4712927284057
334.4392123287671,7.235940754708179e-05,142.2702427361273,5.387334728152306e-05,145.4899719060515,0.006738132935911677,126.2408257887572
401.3270547945206,8.202780415809846e-05,149.3406125651106,6.582983889876498e-05,178.1461734563235,0.0008907431048264489,99.24942928892489
468.214897260274,0.0001087903808456343,159.160832242117,7.27228833681226e-05,2.619204262313853,0.006682748274075057,127.994985406565
535.1027397260274,8.870730132975686e-05,154.5915881610904,0.000142625082888796,135.1442603938001,0.006500091709991545,132.9510317196897
601.9905821917808,6.778747371066674e-05,161.96525889655,0.0001436781230757224,19.81435781506046,0.000929279132683151,73.87271298714778
668.8784246575342,2.710117272081717e-05,162.4741463412611,9.101273606714569e-05,71.88019725493469,0.005594123058737098,132.2524896542582
735.7662671232877,6.917455893737993e-05,11.4017773604124,6.571938087486952e-05,26.63719142786639,0.005213372650398711,148.7348541711077
802.6541095890411,8.306504870124802e-05,162.3368856675296,3.023488136494772e-05,5.033710163982179,0.0005272557569239571,59.86125010367486
869.5419520547945,0.000156925290625461,3.890442763660318,6.527160729783864e-05,2.030838383769729,0.003286208520983326,156.3290294138405
936.4297945205479,0.0001170811197179694,158.3648610713273,0.000108539406459621,6.323838442256917,0.003277132267929423,7.333676409851654
1003.317636986301,5.063065107750617e-05,6.336692027643331,3.440712004831298e-05,27.04287919801335,0.0003672706176767337,38.30313349304825
1070.205479452055,7.338574800569614e-05,113.1396751964375,0.000145583123193023,173.6885344166884,0.003027036632826584,5.403927158738673
1137.093321917808,0.0001100968216720164,148.6943331409551,8.275792248181077e-05,171.6759117044393,0.002983826795728553,29.16238258948781
1203.981164383562,9.858212340396233e-05,153.5966795507073,4.728395287947129e-05,79.52506376465439,0.000169499164200289,141.2653845530907
1270.869006849315,7.37070138636046e-05,126.5533831740084,0.0001002107992212349,20.03142247516423,0.003359689435615239,40.38505328076737
1337.756849315068,7.6957143336024e-05,146.7207662948223,8.189223293668528e-05,57.32287498011015,0.003154265769267735,65.69164717865725
1404.644691780822,7.296980242178513e-05,141.2696313784173,6.767543134803013e-05,5.718397073956368,0.0005416329791594762,146.2537024164667
1471.532534246575,3.116983612351707e-05,164.5278360584178,7.522092203981952e-05,109.407837887182,0.002620010289237294,70.75608285178569
1538.420376712329,8.838180425932711e-05,117.0366829355862,2.185967896176502e-05,129.7363923716993,0.002831414870794231,82.62177416738035
1605.308219178082,3.507515647687886e-05,145.5222703793335,0.0001025729708662828,61.28712596130251,0.0003875710249937508,128.9191544741835
1672.196061643835,0.0001217543783320836,160.0898528629518,0.0001311900754061803,55.84955906866433,0.002647781043601132,95.02651660354245
1739.083904109589,8.884636364155323e-05,167.4078881308012,9.47240564525031e-05,31.86771259933061,0.002841911775872108,104.7894535946618
1805.971746575342,0.0001349463876489333,132.4938430070248,8.90621341982984e-05,50.05585612996082,0.0004313482688459248,13.25500735460756
1872.859589041096,0.0001055581024258731,147.4568779445626,0.0001227920553819682,32.5193409206472,0.001982397110191009,131.2654433254732
1939.747431506849,0.0001073906602992484,126.3797872546176,0.000103046233702548,79.57986419698973,0.002476919002298167,140.9094011167784
2006.635273972603,5.460486738312815e-05,131.3666109102508,8.132409329648953e-05,28.03762107384904,0.000244422467162121,71.77757024399928
2073.523116438356,0.0001050673960449937,132.746096584944,4.514395391098445e-05,25.99636222560217,0.001948582037788731,131.7314914453614
2140.41095890411,8.075025410764554e-05,112.9013182439873,7.388684466024662e-05,49.1311446062613,0.002503338444481855,162.4063246332141
2207.298801369863,6.881640018189562e-05,103.2825326582428,4.203882515466248e-05,78.99657010916016,0.0003196776658002263,151.518456715798
2274.186643835616,0.0001459513123556348,152.3957723662571,0.0001258905848702589,38.14654073431436,0.00219385474399401,0.7908700990344136
2341.07448630137,8.183630283049329e-05,128.3499849463618,6.727889809207761e-05,37.58935580619809,0.002274777507321597,10.7136233077007
2407.962328767123,8.58643671729681e-05,132.4954932029466,7.21936477162431e-05,62.79739108475296,0.0009073101769109997,66.93698775350771
2474.850171232877,9.632901374223096e-05,121.8926471805372,5.626411634188131e-05,35.54898703191263,0.001700177869230017,31.51873344307292
2541.73801369863,0.0001354675707207361,106.3892905607067,3.166482034306489e-05,97.08848375150841,0.002108967641342782,29.19523967867687
2608.625856164384,0.000149453935555435,109.8411257426641,4.989571323014315e-05,58.44861134358047,0.0004042738939976323,144.2729294671014
2675.513698630137,0.0001378782510099735,132.5987820142179,0.000142867505989128,40.59373931826866,0.00123138201876336,53.21587248194218
2742.40154109589,0.0001775294840457511,106.7471873117841,2.046467514748072e-05,51.91848270396866,0.002003002036704979,67.39635281765257
2809.289383561644,6.548597367552767e-05,167.127657031244,8.372118078297554e-05,72.90572318018137,0.0003751728691065777,82.99501592334612
2876.177226027397,0.000149889388331003,104.3532364256983,6.250534471170392e-05,166.0064106515893,0.001714934546476712,83.74670622292143
2943.065068493151,0.0001418742346546209,148.4807364849776,0.0001512040794321293,50.14949477980615,0.001192420513803106,87.89887357788766
